Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1850,287.46765864405529,287.42899646851481,287.44664895365202,287.42589142037087,287.41700017257119,287.45035014417948,287.4429367835312,287.45064461263632,287.45035014417942,287.44664895365196
1851,287.51785254484412,287.43372458230135,287.46020060824037,287.44640211057515,287.39925963211624,287.39445273569697,287.45082489774614,287.40764583918701,287.43474404384506,287.45825930414105
1852,287.51755808853653,287.47382432347945,287.53064175533933,287.49865704588694,287.41560565178645,287.48275003635661,287.45311764945785,287.44746714152086,287.4663088858677,287.56054173558266
1853,287.47826225026012,287.45469507516759,287.5197316525431,287.41732520840299,287.43321690710439,287.50989353878686,287.46820509510354,287.47536642716148,287.45529639806517,287.53429937048628
1854,287.47757234104421,287.41780424486444,287.50781020773695,287.42454179849733,287.4205890751245,287.44577365389466,287.48659024925439,287.45419175999552,287.43623262970539,287.55244025878358
1855,287.49985280833067,287.40436005994388,287.49953317438082,287.47078216890151,287.41250204512471,287.45505136290546,287.45256937220785,287.45521455455702,287.42714304137269,287.48094623924669
1856,287.37220740464699,287.39245681402144,287.46571128755039,287.43494045837514,287.39390804237826,287.45838196674197,287.48600074109385,287.46499635109029,287.39924343346041,287.44046682224371
1857,287.2806216125457,287.40835660871909,287.27799676245633,287.47714794290368,287.41860569237122,287.42034296622268,287.45339032158165,287.44541833822097,287.46981008164295,287.35939586645497
1858,287.30278807112597,287.44340086908335,287.31857587900879,287.47087390394466,287.40209224317601,287.39663234111674,287.46290279268067,287.44659923406164,287.45264277556203,287.36250403330655
1859,287.4040799862459,287.37196662362248,287.34669707042656,287.4413521420596,287.3997061440715,287.44145630068294,287.46331376968487,287.4804297699983,287.46731023438224,287.43679247525972
1860,287.4932241340934,287.40544287849013,287.42288028938623,287.40559486452423,287.43772875892489,287.41444254870413,287.43068425507045,287.46760121952173,287.44807324674247,287.46433090236417
1861,287.49272614251799,287.40360557970155,287.41257268151628,287.40770268178767,287.43736025387159,287.43389956339405,287.45876888860522,287.44214439198532,287.47310848380454,287.50971766596916
1862,287.45947422361508,287.43392164631069,287.40011982731698,287.49655700947807,287.3899216427792,287.42876079166837,287.44703934809075,287.43182998366439,287.44575085600343,287.48148359700724
1863,287.47219072813067,287.39679748870304,287.45654434993185,287.38035287955415,287.4238093822629,287.44519783026271,287.47888219963244,287.49007754579389,287.41006421242002,287.42794953567795
1864,287.48806529347621,287.40564915746779,287.44294620376911,287.41557199814901,287.41789923887393,287.51338544619381,287.42125926869056,287.45820637871896,287.41160191386626,287.47957054329271
1865,287.5415844127719,287.42431776398632,287.4242749015296,287.42807143930196,287.40230485010204,287.4356595084995,287.43421945161953,287.46658474683153,287.418472962583,287.49993599389836
1866,287.5950701132835,287.45322278854582,287.4584389945561,287.42437868637876,287.41061988748413,287.48701831356561,287.42790347875996,287.46773182269646,287.4269236839952,287.49048835036297
1867,287.5437078887677,287.42339555238613,287.44307943794394,287.47237478957794,287.4122273822087,287.46056293998799,287.41003643944362,287.40876650613825,287.38246239682519,287.49585352997627
1868,287.48100331537961,287.4294245909158,287.48413995921283,287.44434881540565,287.40052931591441,287.40913643608758,287.43150676829998,287.40375459746195,287.37542970579261,287.52482676062033
1869,287.50736501431805,287.43757401449204,287.49356808829918,287.40257643801993,287.43541439410149,287.43421718053975,287.43451620977874,287.44130795028741,287.38944217870943,287.51009402633247
1870,287.51078404343571,287.43390469887055,287.46603517253044,287.39575126466957,287.4598338922205,287.43954007006806,287.42224962729995,287.49633208762106,287.43815215704376,287.49515908153182
1871,287.48608431448696,287.46928760178514,287.49511958631138,287.43868720166392,287.44592443326667,287.45470358911518,287.41307727244686,287.4551828422903,287.40409167322144,287.46300583917741
1872,287.50633502865827,287.43745868995467,287.51708648321494,287.41998725500491,287.4492450053026,287.50659775413908,287.49958344691083,287.41335336142771,287.42410532407814,287.48843306761881
1873,287.57058617004435,287.42384165582575,287.48687741238541,287.42649658705619,287.41325605118135,287.47610725637543,287.44127954591374,287.41250927875825,287.41290186777132,287.50305266462499
1874,287.54527513885091,287.45527637203065,287.54362255035443,287.44885034100099,287.48523014496874,287.44663344194873,287.42571738233767,287.46993329366404,287.43817900013454,287.44986198627868
1875,287.54733167572851,287.48070945222281,287.47959133477991,287.39389735607921,287.4902976614369,287.43041682883461,287.4622880538231,287.47479874484878,287.43667608657893,287.50166182227019
1876,287.52470467570583,287.47293229907808,287.4459979495835,287.41096597440037,287.44166123400339,287.42416945398406,287.45578724291693,287.39095557348253,287.40815788487737,287.49626768932438
1877,287.49190727265278,287.50755317083559,287.45870838716706,287.44985297325621,287.44154426166853,287.45753527753379,287.43771390311991,287.43184437575025,287.3994835019127,287.50542791296431
1878,287.51822440466816,287.48567718983929,287.46206351164187,287.44695044809202,287.4572961249516,287.43996909871441,287.43367786049623,287.40150677310197,287.3630557570059,287.4541312222762
1879,287.49319969218726,287.51413705481934,287.49568138141268,287.40911844981429,287.45955047698072,287.45680253022402,287.44342398554755,287.43062610672314,287.40348300583616,287.40524953254305
1880,287.50310744057606,287.50015915656689,287.46220980308362,287.36279980343488,287.50598302742264,287.45747220558258,287.43330690264236,287.40038732205579,287.39920153735363,287.44078439571933
1881,287.55357713374866,287.54750277788247,287.50203354944631,287.42748531663699,287.49232429400428,287.40455634739828,287.40717753932222,287.39570395538516,287.41718232726834,287.47085489482572
1882,287.5295911332808,287.46284359143664,287.49275010361032,287.42037810556525,287.4528977164569,287.43807676326975,287.42488354367731,287.38647327753478,287.44787049146021,287.46801672267111
1883,287.47406213400694,287.49343253027678,287.38568413628724,287.44903225538468,287.50019146482765,287.45760529114858,287.42344072491983,287.39902871140242,287.43534205734329,287.40265546027939
1884,287.14724076947294,287.56272854643578,287.0774307667885,287.37311988749104,287.48797528434994,287.44026962214809,287.44411643592201,287.39599112130861,287.47424598542909,287.07038674443749
1885,287.18863288136305,287.56248714735045,287.11154522514727,287.38495816694547,287.47540094567341,287.48925031592114,287.41766930907215,287.41319107152469,287.53212245693942,287.06980612184782
1886,287.24772040244017,287.59488984071879,287.20962595354501,287.42125485221851,287.50579883232717,287.47810514417625,287.40093198222831,287.40533041489357,287.49149711625535,287.1948543071635
1887,287.30765753949203,287.58420677602351,287.21630331836866,287.38584805203618,287.54754235744213,287.47996301181615,287.4458774699101,287.39310916713919,287.4492425936167,287.29096085373391
1888,287.37276382876888,287.52858729189279,287.24254830074125,287.35039823607076,287.51153406330911,287.47682340355539,287.45162604760378,287.42225354894242,287.44102482535965,287.33321177567785
1889,287.38972576847806,287.52862295961324,287.26765275363221,287.37517873807622,287.46700578605453,287.47575015702284,287.39165357970751,287.42315015198216,287.44929500668115,287.34223113694117
1890,287.39520042104272,287.57824672874528,287.24339915286129,287.42319519728443,287.45144862795371,287.4211399397347,287.41420174976639,287.39578261754576,287.42380282915093,287.37374668739943
1891,287.34410882022985,287.54729248573125,287.268786252491,287.42881183160551,287.49966937487,287.42961489428643,287.45952515903912,287.403372121188,287.43823803819777,287.32521841527029
1892,287.34286346124799,287.55037670934763,287.30186504666005,287.38151383039929,287.52405293748637,287.44595619068906,287.42137477215158,287.42047154004371,287.44189825391919,287.33054176142281
1893,287.48833163542304,287.56966688956243,287.30090060730953,287.43781572505952,287.49982748749164,287.4635994084291,287.46007748368231,287.42961767128259,287.44964931404991,287.3806485554727
1894,287.54643050029142,287.55963632418263,287.38309910450073,287.41666327488326,287.53551889210502,287.43029340338097,287.44708269356101,287.4609353152544,287.47367786403612,287.41107371176753
1895,287.57772161987242,287.504674443601,287.38000274012137,287.39498644660239,287.55209529272514,287.43708614643674,287.45809113621124,287.44013539213256,287.48982344337708,287.47972394846795
1896,287.52404774568055,287.51484422717107,287.4053391993076,287.40847053623742,287.53870629406185,287.43051686118542,287.46473016951091,287.42629050837502,287.46654058479612,287.46894127307593
1897,287.51166099509595,287.45817330815447,287.4054792373596,287.40909427526799,287.5193399147912,287.41715876875344,287.44606903625044,287.41546510390407,287.45131523215542,287.47618093255733
1898,287.54944236456828,287.4952422465949,287.39071292182837,287.39449743629808,287.49482724746292,287.38142916940859,287.46570026691802,287.43814350510769,287.44645305813322,287.47845803112602
1899,287.55484066528879,287.52304300000225,287.37738725075269,287.4410636083166,287.53733763765058,287.38843514929357,287.49646935083456,287.40848187123828,287.47330292667863,287.43616106780689
1900,287.55305882300439,287.53910273914215,287.41459229320333,287.41589926974882,287.53664547837144,287.42330687467739,287.43969922891472,287.39654726175621,287.42833503733766,287.52968845978
1901,287.5902551992537,287.53323760610556,287.44703898647657,287.39462699527365,287.50662875837946,287.39406878381465,287.49741726859941,287.40848746696145,287.43962712706053,287.4955350335876
1902,287.55052912547256,287.53476140568716,287.45763570873726,287.41725424635581,287.59445335406917,287.41679188764374,287.49363508011118,287.43376916419118,287.44579170127474,287.45088351772824
1903,287.36733628725915,287.55968970430297,287.24077271053528,287.43461102857776,287.51996675130891,287.44007229356185,287.49567931341187,287.43943142693462,287.43873219388144,287.27216086481405
1904,287.39718527129145,287.51880745292044,287.3059001061547,287.39627561235181,287.57018874142813,287.43034892736125,287.44473512093907,287.45100122115696,287.43329237002513,287.32804422859016
1905,287.44467168990303,287.49860204343088,287.3786021798262,287.42310334770059,287.60981517597577,287.44403336794676,287.49623641170263,287.46183115655992,287.44095166594104,287.3900694159517
1906,287.55033818606705,287.46612249138548,287.35243479251352,287.41279552355275,287.56364212185133,287.46489534028814,287.44465740236444,287.46404535476222,287.390017427808,287.42201554419034
1907,287.53399689844866,287.55014273397308,287.40188588686027,287.39237730983859,287.60354368898214,287.48804210647739,287.45878683880557,287.47165449073907,287.41981669767631,287.40704522908902
1908,287.5377356441258,287.54689791511794,287.38329577810754,287.38775157384072,287.55343418110039,287.47198453512851,287.44659463644268,287.46575809053957,287.42942354768377,287.41167802625216
1909,287.58506773793289,287.57801847434916,287.41495619980429,287.42146886687067,287.53694545148454,287.47256757932308,287.43925234371738,287.45943176494086,287.43416406912309,287.47868542312528
1910,287.5710537920873,287.54751630707972,287.45818677355771,287.42068528415922,287.56507854838947,287.45100284340413,287.46503032533019,287.42848553866816,287.45982193237256,287.46088610666709
1911,287.62654908740029,287.58453290817323,287.52113528676057,287.42915129113476,287.57168909863429,287.41014441751787,287.45724901609674,287.45055259325915,287.4564672384638,287.49408661596027
1912,287.5489375725702,287.51860578704611,287.41105146838493,287.43646586752811,287.59757131473452,287.43904699968971,287.41350101970841,287.46450904074993,287.41169718326944,287.50269722008454
1913,287.46066398516638,287.53466917088389,287.34228965430549,287.42579535217419,287.641370023712,287.4472047932183,287.46103937210199,287.44587452570187,287.4148092487697,287.41005753559494
1914,287.51335740241797,287.57550259450574,287.43351082654726,287.43855810842217,287.58718494127118,287.46469717471712,287.44253115219817,287.43832873282906,287.4313515265361,287.42101024994327
1915,287.55627736818957,287.54900502651083,287.48833281554363,287.44405393228919,287.60588066543562,287.42873526579376,287.43206380657614,287.46254108212366,287.4302959854233,287.46830321588948
1916,287.58163991472077,287.56265635717443,287.51628132598466,287.4010435752412,287.57104538147502,287.46359599266339,287.41710484315217,287.49855906732239,287.39898196078377,287.50380073819923
1917,287.63093414645903,287.52063463559955,287.50997670317156,287.43323331449898,287.5705777544041,287.51160708261727,287.4233081697169,287.48765298194019,287.43042934841111,287.44964897205398
1918,287.61197719267091,287.55911728664597,287.49573947324535,287.39519049421608,287.60504110504559,287.50253581902143,287.420984700438,287.48328742280358,287.45333884970808,287.47091432030487
1919,287.63413809159118,287.60046804032743,287.48323564330133,287.39915436756854,287.635986136702,287.45448518150323,287.45097070533166,287.4154156828734,287.47085080500574,287.45082810064798
1920,287.62618117508708,287.58391577823591,287.44102091592447,287.50116869426967,287.58681606237394,287.49070822917668,287.40794155623121,287.408515466371,287.45716834338725,287.43652237709637
1921,287.59353344073321,287.58458931080469,287.43316800870912,287.37418294048746,287.61260446324127,287.42188308593921,287.40047621956421,287.46775697148121,287.41943560106154,287.4989746583679
1922,287.62710298696504,287.59699317766353,287.43095104178218,287.42006763833581,287.62253630574816,287.42649085218443,287.40145616797474,287.42696891305496,287.43307558807584,287.50977961074506
1923,287.67406614226428,287.62360893456679,287.45317247928153,287.41054098993163,287.64179696732992,287.45496479288988,287.36948415975655,287.49836631490399,287.4914772824867,287.53580298388187
1924,287.6588860248624,287.59719788922939,287.46085065767124,287.43534784911736,287.62315336903248,287.45679469272631,287.40882929960577,287.44593889673399,287.45241407394286,287.46272363863102
1925,287.6499096790921,287.65805565091,287.54405795462333,287.41364430887705,287.64962484870807,287.43090227715049,287.39523599077131,287.45481998229042,287.44874419997171,287.49922736167673
1926,287.61870280154773,287.6561494197345,287.49956561607939,287.38230200979689,287.68162866328731,287.47489675763359,287.41252631217043,287.44162883316267,287.48019234629146,287.48931160364316
1927,287.6660791077648,287.61588369529034,287.45952921624951,287.39650179923109,287.65746024044518,287.36232140366144,287.45208863190408,287.46226586643172,287.40708869389613,287.47828991240561
1928,287.66526008000716,287.63392387375558,287.43405864385807,287.37744631878962,287.64686691116242,287.44921480319067,287.42641083324526,287.46157769907984,287.45410141310884,287.52139011267417
1929,287.63927057854693,287.65229014178016,287.44525330358272,287.41315155964764,287.7514567764585,287.4645788053748,287.42352105193879,287.41065039000375,287.42978798175722,287.48068997224101
1930,287.66812260031804,287.61559376105572,287.47078681807182,287.36803607880245,287.67225451858968,287.39892774747648,287.41592200099586,287.44238648555017,287.45164445577092,287.49633278422266
1931,287.66997403638777,287.63765127037192,287.41194197820948,287.39022038785635,287.67028964964254,287.43476849520636,287.44357379588871,287.45291227678956,287.45336433641125,287.44629065080761
1932,287.668401180449,287.64562671029802,287.396917323048,287.3449865686602,287.72841179597748,287.43106619856263,287.40357654917977,287.46172205448408,287.42578574096677,287.42686533273684
1933,287.65747429529199,287.63319717439026,287.47065547088152,287.36238636154184,287.75797915906423,287.47289520727338,287.4312632373028,287.46278562399908,287.44004081433161,287.43428412538975
1934,287.71289023411197,287.63583366434432,287.48193051741237,287.39229994929866,287.71888460903108,287.47379194918119,287.44213871376763,287.48116717633775,287.41487362677464,287.49236897610581
1935,287.67246980940581,287.6464157980551,287.49484078148129,287.35757198487693,287.70277734353454,287.41373984147447,287.39819254221356,287.45769329909268,287.45357797921417,287.45268181687561
1936,287.68941821968127,287.6533077724954,287.45561398928282,287.34668012124519,287.74573370087467,287.43294284580531,287.43056310432377,287.44314792863571,287.4794190601977,287.44130763500499
1937,287.7210243138756,287.67888276452732,287.48577019397476,287.34136091137208,287.73393895405377,287.38327261660891,287.46435874390113,287.48206067301987,287.47549776036487,287.46194052437102
1938,287.7444619497478,287.64355005076561,287.52076912367374,287.37636782746858,287.75826014305505,287.44218759581946,287.42888376685312,287.50294425685507,287.44724170922348,287.4479769327412
1939,287.7411034918145,287.62535267784381,287.51819561157606,287.37432198479326,287.72774031211378,287.48052441786547,287.42443489373363,287.45718726812783,287.43803658422485,287.44366599317766
1940,287.75181289881942,287.66071483982626,287.48163971225324,287.3679346324792,287.72024881563982,287.45470155577755,287.44860033043403,287.44143168434073,287.45984409855708,287.53400791169781
1941,287.81223199071837,287.71476615564745,287.48650081050448,287.34646928532482,287.76537141935262,287.42755039328028,287.45677702948097,287.48395354737693,287.44421658459765,287.4623586359491
1942,287.78586070750458,287.66332674226373,287.44085861464418,287.36271615008343,287.77081399245174,287.39149262520374,287.45710035598552,287.47122180958411,287.42762633617275,287.4432462273702
1943,287.76222255686019,287.60089840952276,287.45755186387686,287.36631958013106,287.79211440404424,287.43515570497635,287.4401840012398,287.49830654249797,287.46197499587095,287.49557343551936
1944,287.72861584920093,287.63835145129741,287.52203222850949,287.34095369513614,287.77851109099782,287.40727910730192,287.41160201947451,287.51990336163965,287.43004763678925,287.46035421832158
1945,287.72861881673532,287.65848068242639,287.52067868794666,287.3461142859195,287.75462753149884,287.40394550059625,287.42198549366424,287.52229178708251,287.39662583484704,287.45056508693403
1946,287.69965821313002,287.72952509935016,287.52902303322372,287.34725579981438,287.80338358333353,287.41238304139313,287.40049946889997,287.50180545583828,287.42004562234388,287.44182533639423
1947,287.72081623996593,287.72958710808734,287.54992533570538,287.36589138934636,287.86263092212209,287.43970173208322,287.37090997865903,287.5114680987096,287.46139312906968,287.45761353859899
1948,287.73875717142499,287.68788866849911,287.51935729618646,287.3230676288959,287.79652311751579,287.39802903286147,287.41405212826351,287.47767547491537,287.43869042721741,287.47517330524477
1949,287.71952879830582,287.64741529889483,287.54400953516381,287.30981479578332,287.81147791469687,287.38551941061814,287.45818252162678,287.52520170624382,287.46830358820381,287.49881150827139
1950,287.72246401534738,287.68629865682232,287.54563491753987,287.31361581599708,287.77263239074398,287.39237002577471,287.4146150697776,287.49665359311638,287.5039011674171,287.52455769845574
1951,287.68493882818274,287.68654208486419,287.52464801380677,287.30088565024892,287.75223929854553,287.39846140417194,287.38908617403069,287.47116489684515,287.44856370121909,287.48101694989543
1952,287.66580512327084,287.68110477342714,287.47321551937711,287.30760137137241,287.81277561548978,287.4316038275187,287.44898212782834,287.46556659207056,287.49714679427063,287.44855912115565
1953,287.6895385610793,287.6668190293596,287.48319932944207,287.29796994912829,287.78434609676947,287.39143166310475,287.44463516568857,287.50436300364026,287.48629575236794,287.50739334815569
1954,287.67211027150478,287.67161659454632,287.49689114581417,287.25326424236658,287.83257519682655,287.40174549281772,287.41446802527423,287.46322454106485,287.43701062821225,287.52295748803118
1955,287.72938414439687,287.64348567518238,287.47332464143136,287.28046313213019,287.77711501294101,287.39076928935935,287.40792248865057,287.46596353272525,287.46556347306483,287.49176930162065
1956,287.7138069148142,287.61881062522303,287.53098238789596,287.25978723639821,287.78325128632844,287.34445777474991,287.41236229288251,287.49799467122477,287.55787321858668,287.51092029718365
1957,287.74287435250159,287.6303622601248,287.51726327926633,287.25920239934231,287.85951978946446,287.39382024741627,287.42705297483769,287.53439709125621,287.54286331300409,287.51795686556409
1958,287.78776688803259,287.65788645440227,287.50710957533721,287.24878586232427,287.84139211756212,287.3907435059233,287.42352852618365,287.52737781255092,287.49268688445136,287.55468686283041
1959,287.77693990928827,287.68035354881562,287.50397395078653,287.24737280968094,287.82087606194665,287.42227857639165,287.3831336495719,287.50622186365916,287.47635364319183,287.54817675328377
1960,287.73083181992956,287.69306010064804,287.54759737817631,287.24747732329695,287.89525461668825,287.40194265929568,287.43123189406754,287.49829773577363,287.45674068886854,287.4953056640544
1961,287.7961332614089,287.73654611118945,287.52815067598556,287.25319639194788,287.87540700926866,287.39654161018251,287.42104635970668,287.52417406186157,287.50496121345691,287.42334900013179
1962,287.79959114696356,287.68657810322742,287.51533721757625,287.26313886442438,287.91152057285842,287.37653750703095,287.41367340423596,287.5154749342708,287.50543337061657,287.42893940999647
1963,287.73257355065959,287.71680999845728,287.46899649808768,287.25335241008833,287.91144045565738,287.37478340773987,287.45386147128318,287.4756183728806,287.51289342552172,287.35769962685703
1964,287.54806183733302,287.72232400004179,287.27660592928623,287.23401269595672,287.93455188433137,287.38586971707093,287.47983119415932,287.48567191570135,287.47001198998584,287.25992753872652
1965,287.5616570760086,287.75539568695467,287.29956282918204,287.22376953173,287.88075949257995,287.32771005959546,287.46234030860444,287.51035214685589,287.47053371583763,287.2704710331052
1966,287.62497763423744,287.70199821744382,287.36607315463164,287.22663867335683,287.89078757230243,287.33378286448681,287.47350664106966,287.50134290649623,287.47562360571453,287.2681478736859
1967,287.67303533514513,287.7035488733855,287.43171858185758,287.21554075332392,287.92808589680931,287.35235573992094,287.4817509377516,287.51387679766879,287.45064580022529,287.33312415969277
1968,287.71846361730064,287.7545543505189,287.40974323275952,287.22013027926175,287.9749803785852,287.36656382769399,287.4385121332312,287.54473548278139,287.49947716119232,287.35498875081868
1969,287.70796208753069,287.81987222892508,287.41901454896424,287.23699526753649,288.02285801604893,287.36565667175654,287.414485112222,287.51801084161258,287.48100770035092,287.36162773004173
1970,287.75748178968229,287.8019093067611,287.41725657523182,287.21593820585474,288.026800556377,287.34972484997422,287.41991457802408,287.48656814422804,287.47259055869279,287.34841372105814
1971,287.79311137654076,287.83851531698519,287.42773138727574,287.22257945070203,288.08935873969068,287.33192480619277,287.45105987960534,287.5185431262201,287.47007349812986,287.45654336928271
1972,287.83457283967044,287.83395042178171,287.49211211367799,287.21094536822204,288.11412356980537,287.34503634320646,287.46697308196656,287.51537286026195,287.48279029423219,287.47070968255042
1973,287.85433203164723,287.8148919475517,287.49973485037236,287.18365769483296,288.09020203480077,287.32470846272201,287.43965820646753,287.52742936736951,287.4712301845081,287.4904850680428
1974,287.85666937039298,287.8401566516369,287.50271957095481,287.21289421297735,288.10088431595875,287.31734769993153,287.45466521693078,287.49573575953184,287.44701246458152,287.45881538311312
1975,287.8057443815685,287.83794357605746,287.44599776143707,287.17446400579263,288.0878628285069,287.3944070040119,287.48421129415749,287.48123653116846,287.45626675314122,287.4193588454126
1976,287.8570338039986,287.84962607238919,287.39319861360229,287.13581056952773,288.1317044700815,287.40395505157755,287.46639418675448,287.50715006158498,287.44099215867516,287.39175486240174
1977,287.91489379343602,287.88253286222607,287.4276215858701,287.17605581977006,288.13514963675038,287.33674127422444,287.44688933827894,287.51611113614433,287.49544479337152,287.47726240121364
1978,287.92089066877691,287.85927422463885,287.46135653614994,287.18455120320431,288.13720313555433,287.37348232518673,287.45458153041147,287.47115119067308,287.44224706460773,287.45622951449064
1979,287.9539145087266,287.89302513135914,287.48683823308977,287.09621940424876,288.1970056450042,287.38594695070691,287.47051537805407,287.50364695332706,287.44865152085993,287.4793446412217
1980,287.97975406879334,287.96180929546898,287.48383740626417,287.07845331768215,288.15885493825488,287.34223425143244,287.43767866590173,287.5663609584779,287.46027812505514,287.47497763521727
1981,288.03741136595806,287.92500516364805,287.53219855220789,287.04031644661541,288.19938645929341,287.37554288118156,287.4771139135442,287.52970992734043,287.46075378816158,287.44332303451142
1982,287.91378087603795,287.90285680829072,287.39845407176279,287.10611212599258,288.22148714012275,287.36035236286477,287.53175474008259,287.5773596739653,287.45103409678461,287.37570161296901
1983,287.76044898171904,288.0055374956097,287.15031036785894,287.10358158860271,288.22779148761515,287.30867801191988,287.51692033763396,287.56653962715069,287.4779474758592,287.16725632908475
1984,287.85285290732651,288.00398933137632,287.25974104199383,287.04221399132109,288.22759942023424,287.27837935768298,287.49358992846459,287.53537650600163,287.49976832775008,287.23669148146405
1985,287.9259615718866,288.01790843261318,287.35297993820967,287.08110429990904,288.27431063096219,287.30630446610485,287.51393268957656,287.54672938262627,287.49540205990382,287.34191304612693
1986,287.94786640933228,287.99386944900277,287.35115488871639,287.05407305905032,288.28644206750926,287.3429855440105,287.4923484694566,287.5215539139167,287.45972003052856,287.40373867022919
1987,288.01545710087413,288.02521812986572,287.436340831839,287.0485672637875,288.28100818679957,287.31077621032074,287.46361933997929,287.52757272011928,287.48765885667035,287.41329830314936
1988,288.03894102082126,288.08081017944761,287.45117440187994,287.03678467678554,288.36421188683471,287.37446291837824,287.41205900285189,287.56320101083202,287.50258193968602,287.43399338612198
1989,288.06699523281713,288.05282445902304,287.46628090621653,287.04013343178832,288.33253471610647,287.3807976683853,287.4268093898848,287.51882912905955,287.47223252683909,287.45132840667395
1990,288.12226976030524,288.09172481029793,287.48384036883533,287.08000200197182,288.36780597598238,287.35659071677128,287.45939969320682,287.5191250193318,287.46638587187135,287.50264024771968
1991,288.0769098676995,288.09474023067378,287.39028921825167,287.0445867208461,288.35091825404527,287.35127183473929,287.39747750085093,287.54272845448605,287.44213402728235,287.40470111580032
1992,287.79157525567115,288.08903137171984,287.07861966292251,287.06189750571377,288.40284839487714,287.38986649921378,287.47102738419602,287.57332067270858,287.48750365232985,287.09228095263859
1993,287.86287755409347,288.09141018630288,287.17478699027134,287.02097594306912,288.43121419058872,287.35914191782962,287.46903416205572,287.56081266510239,287.48604616998239,287.16436611645196
1994,287.95784324429144,288.08293513943465,287.27852321903464,287.00511303763932,288.46304374936142,287.34593193861673,287.41139920872899,287.5768596338778,287.46410635372683,287.27660160475091
1995,288.08539948210279,288.1275674813478,287.38930969569498,287.04597029511717,288.45761717731119,287.34634441155112,287.43090022072602,287.57079083964379,287.46723396174605,287.39238266644901
1996,288.1046463618257,288.14281079384017,287.42437583130021,287.01426867304252,288.43762877118633,287.36159759431655,287.49736163975246,287.59476495471642,287.50753089575642,287.47158747425436
1997,288.13788159771008,288.15233264933818,287.46598203908275,287.0244169147885,288.47113172757827,287.3397591779817,287.38272855283583,287.51971926170472,287.44874932312769,287.49335632595722
1998,288.23096819877981,288.19200682002196,287.46701242892181,287.01472987833324,288.47902631065608,287.31843238403587,287.37316011427095,287.53050122432512,287.49226259831488,287.52805573481874
1999,288.26882813730202,288.20612966148622,287.51573081439426,287.038314324015,288.46866192910892,287.30401342080921,287.43021996653653,287.54923247131808,287.50287160685173,287.52322084892296
2000,288.3089779983577,288.18326385787532,287.51696313576258,287.02329336914858,288.50979354863529,287.3329341107974,287.4377206873005,287.50614000427214,287.47114820787817,287.49762852635229
2001,288.32092890543305,288.18423874448524,287.52661356625106,286.96875413421719,288.55234197563948,287.32366594266421,287.38957644034332,287.5182456386799,287.4725208500434,287.49917502745296
2002,288.33525387515101,288.21867306789989,287.54537428499782,287.02269595662762,288.59475897523998,287.36185066745804,287.39983403685005,287.54554166167588,287.47714165849675,287.50443372892948
2003,288.34828533687141,288.25976767576157,287.53422936972851,287.03354771047981,288.59502593337027,287.34598963250784,287.46069819213363,287.50362829203766,287.4799193461476,287.5152206050908
2004,288.38287909582374,288.26947917515247,287.55976769519071,287.02087160857548,288.6154458262933,287.32062874073506,287.4196393782666,287.50038991752615,287.49138121202179,287.53400571061007
2005,288.36375674874893,288.3035028462931,287.604924918677,287.0003263445484,288.65202802762695,287.34265310928913,287.38336917912005,287.53790149718242,287.45315707300625,287.53774435793326